Address,TotalPrice,City,Cust First Name,Cust Full Name,Cust Last Name,CustNum (Orders),Cust Num,Date of Purchase,Number of Records,Order Num,Phone,Price,Product Category,Product Name,Quantity,SKU (Products),SKU,State,ZIP Code
7316 Dryden Road,1512.28,Memphis,Coby,Coby Lucas,Lucas,11,11,11-11-2017,1,124,(177) 816-3420,108.02,Wind harvester,K-Eco Blast 100,14,KEBL100,KEBL100,Tennessee,38114
181 Packers Way,1968,Boston,Rae,Rae Hawkins,Hawkins,13,13,12-11-2017,1,125,(484) 158-4493,246,Solar panels,K-Eco 200,8,KE200,KE200,Massachusetts,02216
99 Sage Street,480,Reno,Nolan,Nolan Slater,Slater,5,5,13-11-2017,1,126,(540) 487-5928,30,Wind harvester,K-Eco Breeze Mini,16,KEBR5,KEBR5,Nevada,89505
823 Glacier Hill Point,31.64,San Bernardino,Zena,Zena Washington,Washington,73,73,17-11-2017,1,127,(921) 805-5150,2.26,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,14,KEPATH01,KEPATH01,California,92415
52 Sachtjen Avenue,65.6,Tampa,Calvin,Calvin Henry,Henry,46,46,19-11-2017,1,128,(327) 821-0113,6.56,Batteries,K-Eco AA  NiMH rechargeable batteries (12-pack),10,KEAA12,KEAA12,Florida,33661
8117 Straubel Plaza,2229.72,Jamaica,Rebekah,Rebekah Nelson,Nelson,92,92,26-11-2017,1,129,(447) 121-6473,131.16,Wind harvester,K-Eco Blast 600,17,KEBL600,KEBL600,New York,11480
6 Granby Drive,74.3,Topeka,Clementine,Clementine Oliver,Oliver,30,30,29-11-2017,1,130,(603) 332-7827,7.43,Lightbulbs,K-Eco Energy Bulbs 20W  (8-pack),10,KE20W08,KE20W08,Kansas,66606
791 Cherokee Court,292.82,Merrifield,Molly,Molly Grant,Grant,65,65,04-12-2017,1,131,(689) 843-0460,26.62,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),11,KEPATH12,KEPATH12,Virginia,22119
602 Sommers Parkway,18.55,Norfolk,Brock,Brock Case,Case,94,94,11-12-2017,1,132,(544) 534-1984,2.65,Batteries,K-Eco  AAA NiMH rechargeable batteries  (6-pack),7,KEAAA06,KEAAA06,Virginia,23520
62 Karstens Junction,34.74,Tulsa,Joshua,Joshua Delaney,Delaney,47,47,11-12-2017,1,133,(838) 282-2276,3.86,Batteries,K-Eco AA  NiMH rechargeable batteries (6-pack),9,KEAA06,KEAA06,Oklahoma,74141
52 Sachtjen Avenue,60,Tampa,Calvin,Calvin Henry,Henry,46,46,11-12-2017,1,134,(327) 821-0113,30,Wind harvester,K-Eco Breeze Mini,2,KEBR5,KEBR5,Florida,33661
40 Lighthouse Bay Circle,4182,Saint Petersburg,Benjamin,Benjamin Miranda,Miranda,17,17,16-12-2017,1,135,(992) 329-4925,246,Solar panels,K-Eco 200,17,KE200,KE200,Florida,33731
24812 Cordelia Trail,17.42,Corpus Christi,Wesley,Wesley Rush,Rush,67,67,19-12-2017,1,136,(722) 576-0563,1.34,Lightbulbs,K-Eco Energy Bulbs 20W,13,KE20W,KE20W,Texas,78475
907 Briar Crest Terrace,845.76,Santa Barbara,Erasmus,Erasmus Neal,Neal,89,89,25-12-2017,1,137,(774) 548-5638,70.48,Wind harvester,K-Eco Blast 200,12,KEBL200,KEBL200,California,93150
78 Summer Ridge Alley,59.44,Duluth,Lucas,Lucas Trevino,Trevino,20,20,02-01-2018,1,138,(176) 773-9482,7.43,Lightbulbs,K-Eco Energy Bulbs 20W  (8-pack),8,KE20W08,KE20W08,Minnesota,55805
823 Glacier Hill Point,42.7,San Bernardino,Zena,Zena Washington,Washington,73,73,05-01-2018,1,139,(921) 805-5150,6.1,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),7,KEPATH08,KEPATH08,California,92415
96 Eliot Way,50.24,Fresno,Brody,Brody Love,Love,82,82,11-01-2018,1,140,(360) 338-4848,3.14,Lightbulbs,K-Eco Energy Bulbs 9W  (8-pack),16,KE9W08,KE9W08,California,93715
62597 Lighthouse Bay Drive,40.43,Port Charlotte,Eric,Eric Donaldson,Donaldson,74,74,12-01-2018,1,141,(714) 520-4254,3.11,Batteries,K-Eco  AAA NiMH rechargeable batteries (12-pack),13,KEAAA12,KEAAA12,Florida,33954
791 Cherokee Court,102668,Merrifield,Molly,Molly Grant,Grant,65,65,15-01-2018,1,142,(689) 843-0460,25667,Grid Tie Inverters,K-Invert 20K,4,KI20K,KI20K,Virginia,22119
7746 Mitchell Point,83.44,New Haven,Merrill,Merrill Freeman,Freeman,12,12,16-01-2018,1,143,(838) 734-1768,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),14,KE23W04,KE23W04,Connecticut,06510
25 Green Plaza,24.99,Davenport,Quail,Quail Vance,Vance,39,39,19-01-2018,1,144,(229) 484-5107,1.47,Lightbulbs,K-Eco Energy Bulbs 9W,17,KE9W,KE9W,Iowa,52804
9843 Graceland Point,3444,Lansing,Dorian,Dorian Dale,Dale,21,21,26-01-2018,1,145,(311) 929-6026,246,Solar panels,K-Eco 200,14,KE200,KE200,Michigan,48930
30 Onsgard Crossing,36396,Los Angeles,Serena,Serena Malone,Malone,96,96,26-01-2018,1,146,(137) 440-1643,4044,Batteries,K-Eco 48-volt Lithium-ion solar backup battery,9,KE48Li,KE48Li,California,90040
91955 Mosinee Parkway,89.46,Indianapolis,Tyrone,Tyrone Powell,Powell,24,24,26-01-2018,1,147,(113) 724-9255,6.39,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),14,KEPATH04,KEPATH04,Indiana,46278
6502 Montana Junction,82.28,New Orleans,Arden,Arden Bennett,Bennett,28,28,08-02-2018,1,148,(959) 194-1875,4.84,Lightbulbs,K-Eco Energy Bulbs 23W  (8-pack),17,KE23W08,KE23W08,Louisiana,70174
289 Porter Crossing,13.23,Silver Spring,Lunea,Lunea Rios,Rios,36,36,09-02-2018,1,149,(311) 982-5690,1.47,Lightbulbs,K-Eco Energy Bulbs 9W,9,KE9W,KE9W,Maryland,20918
62 Warner Place,91.5,Washington,Raja,Raja Wells,Wells,25,25,10-02-2018,1,150,(244) 178-1821,6.1,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),15,KEPATH08,KEPATH08,District of Columbia,20525
62 Karstens Junction,4505.85,Tulsa,Joshua,Joshua Delaney,Delaney,47,47,12-02-2018,1,151,(838) 282-2276,901.17,Solar panels,K-Eco 625,5,KE625,KE625,Oklahoma,74141
24812 Cordelia Trail,108.02,Corpus Christi,Wesley,Wesley Rush,Rush,67,67,14-02-2018,1,152,(722) 576-0563,108.02,Wind harvester,K-Eco Blast 100,1,KEBL100,KEBL100,Texas,78475
7316 Dryden Road,912.38,Memphis,Coby,Coby Lucas,Lucas,11,11,22-02-2018,1,153,(177) 816-3420,65.17,Solar panels,K-Eco 225,14,KE225,KE225,Tennessee,38114
423 Kenwood Park,20.7,Temple,Shay,Shay Davidson,Davidson,60,60,22-02-2018,1,154,(934) 777-4129,1.38,Lightbulbs,K-Eco Energy Bulbs 23W,15,KE23W,KE23W,Texas,76505
823 Glacier Hill Point,24.86,San Bernardino,Zena,Zena Washington,Washington,73,73,22-02-2018,1,155,(921) 805-5150,2.26,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,11,KEPATH01,KEPATH01,California,92415
3849 Northport Parkway,916.24,Appleton,Ronan,Ronan Mendez,Mendez,93,93,23-02-2018,1,156,(302) 847-0643,70.48,Wind harvester,K-Eco Blast 200,13,KEBL200,KEBL200,Wisconsin,54915
62 Karstens Junction,24.6,Tulsa,Joshua,Joshua Delaney,Delaney,47,47,23-02-2018,1,157,(838) 282-2276,4.1,Lightbulbs,K-Eco Energy Bulbs 9W (4-pack),6,KE9W04,KE9W04,Oklahoma,74141
791 Cherokee Court,26.24,Merrifield,Molly,Molly Grant,Grant,65,65,24-02-2018,1,158,(689) 843-0460,6.56,Batteries,K-Eco AA  NiMH rechargeable batteries (12-pack),4,KEAA12,KEAA12,Virginia,22119
55617 Straubel Drive,5257,Philadelphia,Eagan,Eagan Bray,Bray,97,97,11-03-2018,1,159,(529) 738-3373,751,Batteries,K-Eco 36-volt Lithium-ion solar backup battery,7,KE36Li,KE36Li,Pennsylvania,19146
791 Cherokee Court,20.9,Merrifield,Molly,Molly Grant,Grant,65,65,11-03-2018,1,160,(689) 843-0460,1.9,Lightbulbs,K-Eco Energy Bulbs 20W (4-pack),11,KE20W04,KE20W04,Virginia,22119
710 Old Gate Circle,775.53,Chicago,Amery,Amery Washington,Washington,34,34,12-03-2018,1,161,(191) 476-0002,86.17,Solar panels,K-Eco 180,9,KE180,KE180,Illinois,60641
92483 Doe Crossing Drive,3003,Lansing,Guy,Guy Ochoa,Ochoa,10,10,14-03-2018,1,162,(720) 242-4596,231,Wind harvester,K-Eco Blast 1200,13,KEBL1200,KEBL1200,Michigan,48956
6 Carioca Crossing,399.3,Arvada,Derek,Derek Conrad,Conrad,90,90,17-03-2018,1,163,(275) 477-2907,26.62,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),15,KEPATH12,KEPATH12,Colorado,80005
229 Golden Leaf Road,102.24,Gadsden,Jerry,Jerry Gill,Gill,27,27,17-03-2018,1,164,(491) 955-1047,6.39,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),16,KEPATH04,KEPATH04,Alabama,35905
7316 Dryden Road,33.88,Memphis,Coby,Coby Lucas,Lucas,11,11,18-03-2018,1,165,(177) 816-3420,4.84,Lightbulbs,K-Eco Energy Bulbs 23W  (8-pack),7,KE23W08,KE23W08,Tennessee,38114
400 Summit Lane,21,Brooklyn,Theodore,Theodore Brock,Brock,95,95,22-03-2018,1,166,(662) 476-0315,1.75,Lightbulbs,K-Eco Energy Bulbs 13W,12,KE13W,KE13W,New York,11210
3149 Kinsman Court,47.7,Winston Salem,Yoko,Yoko Travis,Travis,81,81,23-03-2018,1,167,(818) 864-3843,2.65,Batteries,K-Eco  AAA NiMH rechargeable batteries  (6-pack),18,KEAAA06,KEAAA06,North Carolina,27116
24812 Cordelia Trail,1967.4,Corpus Christi,Wesley,Wesley Rush,Rush,67,67,23-03-2018,1,168,(722) 576-0563,131.16,Wind harvester,K-Eco Blast 600,15,KEBL600,KEBL600,Texas,78475
92 Northfield Terrace,479.16,Louisville,Rhonda,Rhonda Wilder,Wilder,23,23,27-03-2018,1,169,(653) 854-3876,26.62,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),18,KEPATH12,KEPATH12,Kentucky,40287
556 Lakewood Park,23.52,Bismarck,Cally,Cally Reynolds,Reynolds,1,1,03-04-2018,1,170,(901) 166-8355,1.47,Lightbulbs,K-Eco Energy Bulbs 9W,16,KE9W,KE9W,North Dakota,58505
6 Granby Drive,46815,Topeka,Clementine,Clementine Oliver,Oliver,30,30,04-04-2018,1,171,(603) 332-7827,3121,Batteries,K-Eco 18-volt Lithium-ion solar backup battery,15,KE18Li,KE18Li,Kansas,66606
3849 Northport Parkway,20.88,Appleton,Ronan,Ronan Mendez,Mendez,93,93,06-04-2018,1,172,(302) 847-0643,3.48,Solar panels,K-Eco phone charger,6,KE001,KE001,Wisconsin,54915
5733 Walton Center,74.3,Jamaica,Astra,Astra Edwards,Edwards,54,54,09-04-2018,1,173,(177) 600-1729,7.43,Lightbulbs,K-Eco Energy Bulbs 20W  (8-pack),10,KE20W08,KE20W08,New York,11470
92 Northfield Terrace,38.6,Louisville,Rhonda,Rhonda Wilder,Wilder,23,23,10-04-2018,1,174,(653) 854-3876,3.86,Batteries,K-Eco AA  NiMH rechargeable batteries (6-pack),10,KEAA06,KEAA06,Kentucky,40287
6502 Montana Junction,4067.5,New Orleans,Arden,Arden Bennett,Bennett,28,28,14-04-2018,1,175,(959) 194-1875,813.5,Batteries,K-Eco 12-volt Lithium-ion solar backup battery,5,KE12Li,KE12Li,Louisiana,70174
3627 Pine View Circle,5108,Cleveland,Debra,Debra Finley,Finley,59,59,24-04-2018,1,176,(542) 954-1230,638.5,Grid Tie Inverters,K-Invert 2K,8,KI2K,KI2K,Ohio,44118
62597 Lighthouse Bay Drive,1.47,Port Charlotte,Eric,Eric Donaldson,Donaldson,74,74,28-04-2018,1,177,(714) 520-4254,1.47,Lightbulbs,K-Eco Energy Bulbs 9W,1,KE9W,KE9W,Florida,33954
2 Nevada Junction,52.87,Pittsburgh,Zephr,Zephr Mcgee,Mcgee,44,44,29-04-2018,1,178,(708) 764-4578,3.11,Batteries,K-Eco  AAA NiMH rechargeable batteries (12-pack),17,KEAAA12,KEAAA12,Pennsylvania,15235
602 Sommers Parkway,37.15,Norfolk,Brock,Brock Case,Case,94,94,02-05-2018,1,179,(544) 534-1984,7.43,Lightbulbs,K-Eco Energy Bulbs 20W  (8-pack),5,KE20W08,KE20W08,Virginia,23520
7746 Mitchell Point,5.96,New Haven,Merrill,Merrill Freeman,Freeman,12,12,02-05-2018,1,180,(838) 734-1768,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),1,KE23W04,KE23W04,Connecticut,06510
3849 Northport Parkway,107.28,Appleton,Ronan,Ronan Mendez,Mendez,93,93,03-05-2018,1,181,(302) 847-0643,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),18,KE23W04,KE23W04,Wisconsin,54915
40 Lighthouse Bay Circle,69.48,Saint Petersburg,Benjamin,Benjamin Miranda,Miranda,17,17,04-05-2018,1,182,(992) 329-4925,3.86,Batteries,K-Eco AA  NiMH rechargeable batteries (6-pack),18,KEAA06,KEAA06,Florida,33731
30 Gulseth Junction,2460,San Francisco,Ayanna,Ayanna Foreman,Foreman,41,41,05-05-2018,1,183,(146) 146-9356,246,Solar panels,K-Eco 200,10,KE200,KE200,California,94154
556 Lakewood Park,53.24,Bismarck,Cally,Cally Reynolds,Reynolds,1,1,10-05-2018,1,184,(901) 166-8355,4.84,Lightbulbs,K-Eco Energy Bulbs 23W  (8-pack),11,KE23W08,KE23W08,North Dakota,58505
30 Onsgard Crossing,480,Los Angeles,Serena,Serena Malone,Malone,96,96,11-05-2018,1,185,(137) 440-1643,30,Wind harvester,K-Eco Breeze Mini,16,KEBR5,KEBR5,California,90040
52 Sachtjen Avenue,14063,Tampa,Calvin,Calvin Henry,Henry,46,46,11-05-2018,1,186,(327) 821-0113,2009,Grid Tie Inverters,K-Invert 7K,7,KI7K,KI7K,Florida,33661
1876 Petterle Court,24755,Brea,Hedy,Hedy Vang,Vang,86,86,12-05-2018,1,187,(383) 134-3234,4951,Grid Tie Inverters,K-Invert 9K,5,KI9K,KI9K,California,92822
2 Farragut Crossing,216.27,Anchorage,Sade,Sade Santiago,Santiago,14,14,14-05-2018,1,188,(497) 492-4618,72.09,Solar panels,K-Eco 325,3,KE325,KE325,Alaska,99512
1 Springview Circle,2.26,Helena,Kenneth,Kenneth Potts,Potts,57,57,14-05-2018,1,189,(976) 544-1168,2.26,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,1,KEPATH01,KEPATH01,Montana,59623
609 Everett Avenue,5108,Des Moines,Francesca,Francesca Hodges,Hodges,32,32,14-05-2018,1,190,(324) 686-7614,638.5,Grid Tie Inverters,K-Invert 2K,8,KI2K,KI2K,Iowa,50330
99 Sage Street,925.43,Reno,Nolan,Nolan Slater,Slater,5,5,19-05-2018,1,191,(540) 487-5928,84.13,Solar panels,K-Eco 450,11,KE450,KE450,Nevada,89505
91955 Mosinee Parkway,54461,Indianapolis,Tyrone,Tyrone Powell,Powell,24,24,19-05-2018,1,192,(113) 724-9255,4951,Grid Tie Inverters,K-Invert 9K,11,KI9K,KI9K,Indiana,46278
88 Burning Wood Junction,131.16,Anaheim,Adara,Adara Langley,Langley,26,26,20-05-2018,1,193,(696) 810-8990,131.16,Wind harvester,K-Eco Blast 600,1,KEBL600,KEBL600,California,92812
62 Warner Place,2703.51,Washington,Raja,Raja Wells,Wells,25,25,22-05-2018,1,194,(244) 178-1821,901.17,Solar panels,K-Eco 625,3,KE625,KE625,District of Columbia,20525
40 Lighthouse Bay Circle,5772,Saint Petersburg,Benjamin,Benjamin Miranda,Miranda,17,17,29-05-2018,1,195,(992) 329-4925,481,Wind harvester,K-Eco Blast 800,12,KEBL800,KEBL800,Florida,33731
2 Rockefeller Avenue,9012,Waco,Hunter,Hunter Newton,Newton,3,3,02-06-2018,1,196,(831) 996-1240,751,Batteries,K-Eco 36-volt Lithium-ion solar backup battery,12,KE36Li,KE36Li,Texas,76796
602 Sommers Parkway,901.17,Norfolk,Brock,Brock Case,Case,94,94,05-06-2018,1,197,(544) 534-1984,901.17,Solar panels,K-Eco 625,1,KE625,KE625,Virginia,23520
5204 Beilfuss Place,107262,Columbus,Shellie,Shellie Velez,Velez,22,22,05-06-2018,1,198,(197) 282-8671,5959,Grid Tie Inverters,K-Invert 13K,18,KI13K,KI13K,Ohio,43204
68316 Emmet Trail,792,San Diego,Jael,Jael Rice,Rice,42,42,09-06-2018,1,199,(394) 444-6027,66,Solar panels,"K-Eco 250x (same power, smaller footprint)",12,KE250X,KE250X,California,92153
561 Basil Court,71.52,Greensboro,Blaine,Blaine Ashley,Ashley,49,49,12-06-2018,1,200,(261) 759-5806,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),12,KE23W04,KE23W04,North Carolina,27404
874 Leroy Hill,1430.21,Santa Rosa,Oleg,Oleg Merritt,Merritt,51,51,13-06-2018,1,201,(513) 912-4721,84.13,Solar panels,K-Eco 450,17,KE450,KE450,California,95405
40 Lighthouse Bay Circle,20.88,Saint Petersburg,Benjamin,Benjamin Miranda,Miranda,17,17,16-06-2018,1,202,(992) 329-4925,3.48,Solar panels,K-Eco phone charger,6,KE001,KE001,Florida,33731
839 Pepper Wood Street,1617,El Paso,Leslie,Leslie Pace,Pace,79,79,17-06-2018,1,203,(623) 686-1821,231,Wind harvester,K-Eco Blast 1200,7,KEBL1200,KEBL1200,Texas,88563
181 Packers Way,22.78,Boston,Rae,Rae Hawkins,Hawkins,13,13,17-06-2018,1,204,(484) 158-4493,1.34,Lightbulbs,K-Eco Energy Bulbs 20W,17,KE20W,KE20W,Massachusetts,02216
289 Porter Crossing,4888,Silver Spring,Lunea,Lunea Rios,Rios,36,36,23-06-2018,1,205,(311) 982-5690,376,Solar panels,K-Eco 700,13,KE700,KE700,Maryland,20918
7189 Pankratz Point,45.92,Dayton,Jaime,Jaime Craig,Craig,66,66,23-06-2018,1,206,(375) 915-2089,6.56,Batteries,K-Eco AA  NiMH rechargeable batteries (12-pack),7,KEAA12,KEAA12,Ohio,45454
7746 Mitchell Point,354,New Haven,Merrill,Merrill Freeman,Freeman,12,12,25-06-2018,1,207,(838) 734-1768,88.5,Solar panels,K-Eco 250,4,KE250,KE250,Connecticut,06510
6755 Burrows Center,30135,Columbus,Rose,Rose Holcomb,Holcomb,40,40,25-06-2018,1,208,(129) 823-5800,2009,Grid Tie Inverters,K-Invert 7K,15,KI7K,KI7K,Georgia,31914
91955 Mosinee Parkway,20.88,Indianapolis,Tyrone,Tyrone Powell,Powell,24,24,01-07-2018,1,209,(113) 724-9255,3.48,Solar panels,K-Eco phone charger,6,KE001,KE001,Indiana,46278
68316 Emmet Trail,87.12,San Diego,Jael,Jael Rice,Rice,42,42,06-07-2018,1,210,(394) 444-6027,4.84,Lightbulbs,K-Eco Energy Bulbs 23W  (8-pack),18,KE23W08,KE23W08,California,92153
289 Porter Crossing,3.14,Silver Spring,Lunea,Lunea Rios,Rios,36,36,11-07-2018,1,211,(311) 982-5690,3.14,Lightbulbs,K-Eco Energy Bulbs 9W  (8-pack),1,KE9W08,KE9W08,Maryland,20918
4276 Hallows Terrace,1057.2,San Antonio,Mollie,Mollie Meyers,Meyers,50,50,14-07-2018,1,212,(309) 329-9140,70.48,Wind harvester,K-Eco Blast 200,15,KEBL200,KEBL200,Texas,78260
282 Acker Terrace,11.3,Winston Salem,Cailin,Cailin Alford,Alford,88,88,15-07-2018,1,213,(368) 400-8301,2.26,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,5,KEPATH01,KEPATH01,North Carolina,27157
8 Delaware Hill,418.5,Garden Grove,Nicole,Nicole Mcconnell,Mcconnell,98,98,16-07-2018,1,214,(892) 616-0264,69.75,Solar panels,K-Eco 275,6,KE275,KE275,California,92844
710 Old Gate Circle,15.18,Chicago,Amery,Amery Washington,Washington,34,34,17-07-2018,1,215,(191) 476-0002,1.38,Lightbulbs,K-Eco Energy Bulbs 23W,11,KE23W,KE23W,Illinois,60641
92483 Doe Crossing Drive,775.53,Lansing,Guy,Guy Ochoa,Ochoa,10,10,18-07-2018,1,216,(720) 242-4596,86.17,Solar panels,K-Eco 180,9,KE180,KE180,Michigan,48956
6502 Montana Junction,3190.72,New Orleans,Arden,Arden Bennett,Bennett,28,28,23-07-2018,1,217,(959) 194-1875,245.44,Wind harvester,K-Eco Blast 400,13,KEBL400,KEBL400,Louisiana,70174
22 Superior Way,103.7,Boston,Graham,Graham Frederick,Frederick,77,77,26-07-2018,1,218,(707) 474-5854,6.1,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),17,KEPATH08,KEPATH08,Massachusetts,02203
6502 Montana Junction,5772,New Orleans,Arden,Arden Bennett,Bennett,28,28,28-07-2018,1,219,(959) 194-1875,481,Wind harvester,K-Eco Blast 800,12,KEBL800,KEBL800,Louisiana,70174
62597 Lighthouse Bay Drive,1292.55,Port Charlotte,Eric,Eric Donaldson,Donaldson,74,74,29-07-2018,1,220,(714) 520-4254,86.17,Solar panels,K-Eco 180,15,KE180,KE180,Florida,33954
609 Everett Avenue,3190.72,Des Moines,Francesca,Francesca Hodges,Hodges,32,32,30-07-2018,1,221,(324) 686-7614,245.44,Wind harvester,K-Eco Blast 400,13,KEBL400,KEBL400,Iowa,50330
6 Carioca Crossing,5.3,Arvada,Derek,Derek Conrad,Conrad,90,90,31-07-2018,1,222,(275) 477-2907,2.65,Batteries,K-Eco  AAA NiMH rechargeable batteries  (6-pack),2,KEAAA06,KEAAA06,Colorado,80005
710 Old Gate Circle,30,Chicago,Amery,Amery Washington,Washington,34,34,31-07-2018,1,223,(191) 476-0002,3,Lightbulbs,K-Eco Energy Bulbs 13W  (8-pack),10,KE13W08,KE13W08,Illinois,60641
25 Green Plaza,17.94,Davenport,Quail,Quail Vance,Vance,39,39,01-08-2018,1,224,(229) 484-5107,1.38,Lightbulbs,K-Eco Energy Bulbs 23W,13,KE23W,KE23W,Iowa,52804
89318 Heffernan Crossing,61.76,Santa Barbara,Wynter,Wynter Roberts,Roberts,37,37,02-08-2018,1,225,(721) 262-6519,3.86,Batteries,K-Eco AA  NiMH rechargeable batteries (6-pack),16,KEAA06,KEAA06,California,93150
8 Gerald Point,9.96,Orlando,Malik,Malik Faulkner,Faulkner,16,16,03-08-2018,1,226,(186) 520-2519,1.66,Lightbulbs,K-Eco Energy Bulbs 13W (4-pack),6,KE13W04,KE13W04,Florida,32858
88 Burning Wood Junction,24.36,Anaheim,Adara,Adara Langley,Langley,26,26,05-08-2018,1,227,(696) 810-8990,3.48,Solar panels,K-Eco phone charger,7,KE001,KE001,California,92812
88 Burning Wood Junction,282337,Anaheim,Adara,Adara Langley,Langley,26,26,06-08-2018,1,228,(696) 810-8990,25667,Grid Tie Inverters,K-Invert 20K,11,KI20K,KI20K,California,92812
419 Tennyson Court,156.4,San Luis Obispo,Melyssa,Melyssa Gates,Gates,38,38,13-08-2018,1,229,(263) 976-2589,19.55,Solar panels,K-Eco Mini,8,KE5,KE5,California,93407
6 Granby Drive,23836,Topeka,Clementine,Clementine Oliver,Oliver,30,30,17-08-2018,1,230,(603) 332-7827,5959,Grid Tie Inverters,K-Invert 13K,4,KI13K,KI13K,Kansas,66606
9776 Beilfuss Parkway,15.44,Cleveland,Karly,Karly Hardin,Hardin,64,64,21-08-2018,1,231,(106) 281-7513,3.86,Batteries,K-Eco AA  NiMH rechargeable batteries (6-pack),4,KEAA06,KEAA06,Ohio,44118
7316 Dryden Road,44484,Memphis,Coby,Coby Lucas,Lucas,11,11,22-08-2018,1,232,(177) 816-3420,4044,Batteries,K-Eco 48-volt Lithium-ion solar backup battery,11,KE48Li,KE48Li,Tennessee,38114
95567 Browning Crossing,13.3,Vero Beach,Hadley,Hadley Sosa,Sosa,63,63,25-08-2018,1,233,(222) 150-9436,1.9,Lightbulbs,K-Eco Energy Bulbs 20W (4-pack),7,KE20W04,KE20W04,Florida,32964
8 Gerald Point,510,Orlando,Malik,Malik Faulkner,Faulkner,16,16,29-08-2018,1,234,(186) 520-2519,30,Wind harvester,K-Eco Breeze Mini,17,KEBR5,KEBR5,Florida,32858
25 Green Plaza,293.25,Davenport,Quail,Quail Vance,Vance,39,39,30-08-2018,1,235,(229) 484-5107,19.55,Solar panels,K-Eco Mini,15,KE5,KE5,Iowa,52804
602 Sommers Parkway,17.42,Norfolk,Brock,Brock Case,Case,94,94,03-09-2018,1,236,(544) 534-1984,1.34,Lightbulbs,K-Eco Energy Bulbs 20W,13,KE20W,KE20W,Virginia,23520
8 Delaware Hill,111.45,Garden Grove,Nicole,Nicole Mcconnell,Mcconnell,98,98,04-09-2018,1,237,(892) 616-0264,7.43,Lightbulbs,K-Eco Energy Bulbs 20W  (8-pack),15,KE20W08,KE20W08,California,92844
62 Warner Place,8564.8,Washington,Raja,Raja Wells,Wells,25,25,12-09-2018,1,238,(244) 178-1821,535.3,Solar panels,"K-Eco 325x (same power, smaller footprint)",16,KE325X,KE325X,District of Columbia,20525
62597 Lighthouse Bay Drive,59.6,Port Charlotte,Eric,Eric Donaldson,Donaldson,74,74,13-09-2018,1,239,(714) 520-4254,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),10,KE23W04,KE23W04,Florida,33954
3627 Pine View Circle,245.44,Cleveland,Debra,Debra Finley,Finley,59,59,17-09-2018,1,240,(542) 954-1230,245.44,Wind harvester,K-Eco Blast 400,1,KEBL400,KEBL400,Ohio,44118
3409 Oriole Point,9.66,Peoria,Iliana,Iliana Hester,Hester,31,31,18-09-2018,1,241,(716) 866-7734,1.38,Lightbulbs,K-Eco Energy Bulbs 23W,7,KE23W,KE23W,Illinois,61629
2 Hovde Plaza,4182,Saint Paul,Indira,Indira Odom,Odom,75,75,26-09-2018,1,242,(714) 947-5101,246,Solar panels,K-Eco 200,17,KE200,KE200,Minnesota,55108
62 Karstens Junction,41.72,Tulsa,Joshua,Joshua Delaney,Delaney,47,47,28-09-2018,1,243,(838) 282-2276,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),7,KE23W04,KE23W04,Oklahoma,74141
87 Brentwood Park,45.05,Dallas,Brooke,Brooke Perkins,Perkins,4,4,02-10-2018,1,244,(340) 732-9367,2.65,Batteries,K-Eco  AAA NiMH rechargeable batteries  (6-pack),17,KEAAA06,KEAAA06,Texas,75358
561 Basil Court,245.44,Greensboro,Blaine,Blaine Ashley,Ashley,49,49,03-10-2018,1,245,(261) 759-5806,245.44,Wind harvester,K-Eco Blast 400,1,KEBL400,KEBL400,North Carolina,27404
2 Farragut Crossing,47.7,Anchorage,Sade,Sade Santiago,Santiago,14,14,18-10-2018,1,246,(497) 492-4618,2.65,Batteries,K-Eco  AAA NiMH rechargeable batteries  (6-pack),18,KEAAA06,KEAAA06,Alaska,99512
32174 Ridge Oak Plaza,9020,San Francisco,Mona,Mona Matthews,Matthews,83,83,20-10-2018,1,247,(723) 808-1834,820,Grid Tie Inverters,K-Invert 4K,11,KI4K,KI4K,California,94177
